Encoding,ʾalp,bayt,gaml,ḫayt,dag,dalt,hillul,haw,waw,uph,ziqq,zayn,ḥaṣr,ṭab,yad,kap,lamd,maym,ḏiqq,naḥaš,ẓil,ṡamk,ʿayn,pu,ṣaday,ṣappa,qoba,raʾš,ṯad,šimš,ṯann,šin,ġabiʿ,tāw
Yoram Gnat,אאּ,בבּ,גגּ,ח﬷,דדּ,דדּ,ההּ,,ווּ,,זזּ,זזּ,ח﬷,טטּ,ייּ,ךככּ,ללּ,םממּ,,ןננּ,,ססּ,ע﭂,ףפפּ,ץצצּ,ץצצּ,קקּ,ררּ,ש,שּ,ש,ש,,תתּ
PhoenicianAlt,),b,g,x,d,d,h,,w,,z,z,x,+,y,k,l,m,,n,,s,(,p,c,c,q,r,$,$,$,$,,T
BiblePlaces,aA,bB,gG,xX,dD,dD,hH,,wW,,zZ,zZ,xX,jJ,yY,kK$%^,lL,mM,,nN!,,sS,[{,pP@,cC#,cC#,qQ,rR,vV,vV,fF,fF,,tT
DSS (V1.1),0,B,G,X,d,d,h,,w,,z,z,X,+,Y,Kk,l,mM,,nN,,S,(,pP,c,c,qQ,r,,,,,,t
Jack Kilmon,),b,g,x,d,d,h,,w,,z,z,x,+,y,k,l,m{,,n},,s,(,pv,cj,cj,q,r,$,$,$,$,,t
Brother MattithYah,a,b,G,C,D,D,h,,,,Z,Z,C,F,Y,K,L,M,,N,,I,O,,E,E,q,r,S,S,S,S,,X
sarabian,o,b,g,I,,d,h,,w,,,z,H,T,y,k,l,m,D,n,Z,S,a,f,x,B,q,r,J,s,,X,G,t
Aramaic-CTAN,a,b,g,H,,d,h,h,w,w,z,z,H,T,y,k,l,m,,n,T,s,o,p,x,x,q,r,S,S,S,S,o,t
Nabatean-CTAN,a,b,g,H,d,d,h,h,w,w,z,z,H,T,y,k,l,m,,n,T,s,o,p,x,x,q,r,t,S,S,S,o,t
Peter Wilson,Aa,Bb,gpP,T,Dd,h,Ee,,w,,z,,Hh,,yY,Kk,lL,m,z,n,,Dd,oO,pPO,Xx,,qQ,rR,S,vV,,S,s,t