script name,period start,period end,font name,font path,wikipedia
Hieroglyph,-3200,400,Noto Sans Egyptian Hieroglyphs,NotoSansEgyptianHieroglyphs-Regular.ttf,https://en.wikipedia.org/wiki/Egyptian_hieroglyphs
Ancient South-Arabian,-1900,600,Noto Sans Old South Arabian,NotoSansOldSouthArabian-Regular.ttf,https://en.wikipedia.org/wiki/Ancient_South_Arabian_script
Ge'ez,0,400,Noto Sans Ethiopic Condensed,NotoSansEthiopic_Condensed-Regular.ttf,https://en.wikipedia.org/wiki/Ge%CA%BDez_script
Ancient North-Arabian,-800,400,Noto Sans Old North Arabian,NotoSansOldNorthArabian-Regular.ttf,https://en.wikipedia.org/wiki/Ancient_North_Arabian
Proto-Sinaitic,-2100,-1500,Protosinaitic 1,Proto-Sinaitic.ttf,https://en.wikipedia.org/wiki/Proto-Sinaitic_script
Phoenician,-1050,0,Noto Sans Phoenician,NotoSansPhoenician-Regular.ttf,https://en.wikipedia.org/wiki/Phoenician_alphabet
Paleo-Hebrew,-100,135,Isaiah Scroll,PaleoHebrew_fonts/Isaiah Scroll.ttf,https://en.wikipedia.org/wiki/Paleo-Hebrew_alphabet
Samaritan,0,400,Noto Sans Samaritan,NotoSansSamaritan-Regular.ttf,https://en.wikipedia.org/wiki/Samaritan_script
Aramaic,-800,200,Noto Sans Imperial Aramaic,NotoSansImperialAramaic-Regular.ttf,https://en.wikipedia.org/wiki/Aramaic_alphabet
Syriac,0,,Noto Sans Syriac,NotoSansSyriac-Regular.ttf,https://en.wikipedia.org/wiki/Syriac_alphabet
Hebrew,100,,Noto Sans Hebrew Condensed,NotoSansHebrew_Condensed-Regular.ttf,https://en.wikipedia.org/wiki/Hebrew_alphabet
Nabataean,-200,400,Noto Sans Nabataean,NotoSansNabataean-Regular.ttf,https://en.wikipedia.org/wiki/Nabataean_script
Arabic,400,,Noto Sans Arabic Condensed,NotoSansArabic_Condensed-Regular.ttf,https://en.wikipedia.org/wiki/Arabic_alphabet
Parthian,250,250,Noto Sans Inscriptional Parthian,NotoSansInscriptionalParthian-Regular.ttf,https://en.wikipedia.org/wiki/Inscriptional_Parthian
Palmyrene,-100,300,Noto Sans Palmyrene,NotoSansPalmyrene-Regular.ttf,https://en.wikipedia.org/wiki/Palmyrene_alphabet
Hatran,-100,240,Noto Sans Hatran,NotoSansHatran-Regular.ttf,https://en.wikipedia.org/wiki/Hatran_Aramaic
Elymaic,-200,300,Noto Sans Elymaic,NotoSansElymaic-Regular.ttf,https://en.wikipedia.org/wiki/Elymaic
Pahlavi,-171,-138,Noto Sans Inscriptional Pahlavi,NotoSansInscriptionalPahlavi-Regular.ttf,https://en.wikipedia.org/wiki/Inscriptional_Pahlavi
Old Sogdian,-171,-138,Noto Sans Old Sogdian,NotoSansOldSogdian-Regular.ttf,https://en.wikipedia.org/wiki/Inscriptional_Pahlavi