Grepheme,Yoram Gnat,PhoenicianAlt,BiblePlaces,DSS (V1.1),Jack Kilmon,Brother MattithYah
ʾalp,אאּ,),aA,0,),a
bayt,בבּ,b,bB,B,b,b
gaml,גגּ,g,gG,G,g,G
ḫayt,ח﬷,x,xX,X,x,C
dag,דדּ,d,dD,d,d,D
dalt,דדּ,d,dD,d,d,D
hillul,ההּ,h,hH,h,h,h
haw,
waw,ווּ,w,wW,w,w
uph,
ziqq,זזּ,z,zZ,z,z,Z
zayn,זזּ,z,zZ,z,z,Z
ḥaṣr,ח﬷,x,xX,X,x,C
ṭab,טטּ,+,jJ,+,+,F
yad,ייּ,y,yY,Y,y,Y
kap,ךככּ,k,kK$%^,Kk,k,K
lamd,ללּ,l,lL,l,l,L
maym,םממּ,m,mM,mM,m{,M
ḏiqq,
naḥaš,ןננּ,n,nN!,nN,n},N
ẓil,
ṡamk,ססּ,s,sS,S,s,I
ʿayn,ע﭂,(,[{,(,(,O
pu,ףפפּ,p,pP@,pP,pv
ṣaday,ץצצּ,c,cC#,c,cj,E
ṣappa,ץצצּ,c,cC#,c,cj,E
qoba,קקּ,q,qQ,qQ,q,q
raʾš,ררּ,r,rR,r,r,r
ṯad,ש,$,vV,,$,S
šimš,שּ,$,vV,,$,S
ṯann,ש,$,fF,,$,S
šin,ש,$,fF,,$,S
ġabiʿ,
tāw,תתּ,T,tT,t,t,X